Parameter,Value,Price,Delta
T,0.1,0.935361,-7.08599
T,0.235714,2.34315,-5.6782
T,0.371429,3.55091,-4.47044
T,0.507143,4.63651,-3.38484
T,0.642857,5.63938,-2.38197
T,0.778571,6.58147,-1.43988
T,0.914286,7.47631,-0.54504
T,1.05,8.33297,0.311613
T,1.18571,9.15781,1.13646
T,1.32143,9.95554,1.93419
T,1.45714,10.7297,2.70839
T,1.59286,11.4832,3.46186
T,1.72857,12.2182,4.19684
T,1.86429,12.9365,4.91513
T,2,13.6396,5.61826
r,0.01,6.29725,-1.7241
r,0.02,6.70477,-1.31658
r,0.03,7.12806,-0.893288
r,0.04,7.56699,-0.454366
r,0.05,8.02135,0
r,0.06,8.49093,0.469578
r,0.07,8.97544,0.954086
r,0.08,9.47455,1.4532
r,0.09,9.9879,1.96655
r,0.1,10.5151,2.49373
sigma,0.1,4.0461,-3.97526
sigma,0.121053,4.88413,-3.13722
sigma,0.142105,5.72165,-2.2997
sigma,0.163158,6.55855,-1.4628
sigma,0.184211,7.39474,-0.626617
sigma,0.205263,8.23012,0.208765
sigma,0.226316,9.0646,1.04325
sigma,0.247368,9.89809,1.87674
sigma,0.268421,10.7305,2.70915
sigma,0.289474,11.5617,3.54038
sigma,0.310526,12.3917,4.37035
sigma,0.331579,13.2203,5.19897
sigma,0.352632,14.0475,6.02614
sigma,0.373684,14.8731,6.85178
sigma,0.394737,15.6971,7.67579
sigma,0.415789,16.5195,8.4981
sigma,0.436842,17.34,9.31861
sigma,0.457895,18.1586,10.1372
sigma,0.478947,18.9752,10.9539
sigma,0.5,19.7898,11.7685
